"@JustinOdom dbl booooooo for being sick, flippin blows! ... bahaha i kno i dont have many friends on here either. i feel so lame  haha"," surprise"
"@brettyrocks thats what i was thinking but the only time it's gonna be on is 1 am!"," surprise"
"Peeps still here. Fun times. Gotta sleep tho. Work in the A.M. Some cool, hot chicks here. But none as cool as ____________. Missing her"," happiness"
"don't feel like working  I think I tweet this too often!","hate"
"feels sick to my stomach and idkk whyy"," surprise"
"vineri...nimic special sau probabil un alt weekend pierdut..."," surprise"
"Counting the hours of lost sunshine until the Weekend"," sadness"
"@justintevya - dude i just saw your SF pics. looks like your mini excursion was pretty kick ass! didn't see any sun while i was there tho"," surprise"
"is home.  safely... but hungry","surprise"
"@hello_jodie Um, I was thrown from @JareWolf's van yesterday and had to be taken to the ER","surprise"
"got to final table, but....went out third.  Don't think I'll be getting my free seat"," surprise"
"good morning work this morning gutted lol nevermind","neutral"
"I have to work in the morning while my friends get to party it up.....stupid bberry lite flashing red and I have no messages!"," surprise"
"FB is boring   and i wanna sing RIGHT NOW..! *-*"," surprise"
"@judyrey  The link doesn't work"," surprise"
"@Deedubau hahaha I don't know anyone or anything about it except they have powers lol... I live in my own bubble"," surprise"
"The humpalow um ya I think so... Cell is dying"," surprise"
"Last day at work...Sick to the bone"," boredom"
"i feel like I'm on house arrest."," surprise"
"love is like a war,,easy to begin, hard to end..fiuuhh..."," surprise"
"@heavenjones ur supposed to be in BK tho"," surprise"
"@cosmiclagoon Did you know that there is a shortage of shells for crabs to use on the beach due to beach combers? It is very sad"," surprise"
"Oh no!  Nighty night."," surprise"
"@celldweller Must... have... new music... I won't sleep until you give us Chapter 1... I might die first though...  Hurry!"," surprise"
"my stupid tooooth hurts"," surprise"
"@neyoofficial: love the song &quot;together&quot;. that's &quot;his&quot; song for me...well i think it's still is"," surprise"
"Ready To Go @ School"," happy"
"@turnitgrey my computers broken and I broke my laptop so I had to use the phone  ahh still on he cause they fucked up my order."," surprise"
"@Richard_Gable It's good isn't it! Our holiday chalet is out of sight but look v similar to those ones. Going home again today"," surprise"
"It's a sad economy. Just heard of another friend losing their job.  so sad. But just a reminder that..."," surprise"
"@jarekpastor I'm just starting to feel really panicky and anxious that something bad has happened cos it seems like it's been ages"," surprise"
"my dog ran awayyy"," surprise"
"@all_is_one84 Those suck so bad."," surprise"
"I'm back. top molar extracted  swollen face, all numb.  But no more toothache or sinus pain."," surprise"
"just finished 8 hours of Texas Life Insurance CE tonight, 22 more hours to go","neutral"
"does anyone know any good rap songs? i need to make a rap/fun cd and i have no idea  helllllpppp"," surprise"
"I want to go to Peru this summer ahhhhhhh! Hopefully! Yesyesyes! I miss it over there!!!"," surprise"
"@exortabreedoll what happen to the maids of yours? Quit once again? ..."," surprise"
"I'm awake. Anybody else awake? Wish I lived in the US since all the fun happens when I'm asleep!"," surprise"
"At Charle's with the power out. LOL! Damn SaveMart lost power and we could not buy beer."," surprise"
"@Penguin_J heehee. i love you! i am tired."," surprise"
"my mobile phone refuses to charge!!  either the battery is broken or the chargerrr ( booooo"," surprise"
"@Kirsten613 oh how i wish you would get her to sign something then send it to me or let me call you when you meet or something","neutral"
"@kimberly625 hmmm, I thought u were sleeping!! Too bad I can't see those videos until tomorrow night."," surprise"
"Morning everyone sorry for going early last night had bad news, felt totally crap   Today is a new day"," surprise"
"went to the beach and it started raining","happy"
"how I wish my parents put me into a Chinese school when I was younger. Then, it'll be so much easier for me to get a job..."," surprise"
"@AnthonyLucas @iainfunnell Yeah, physically moving too!  Apparently we'll be reporting directly to Mr. Hayward..."," surprise"
"@nayRyelgiuQ airport? and you didnt show up tonight homo!"," surprise"
"@charloro jealous  it looks like schindler's list in toronto"," neutral"
"I want another tatt"," surprise"
"@avalonabsinthe what?! Come as you are!!! But erock just left  bah D:"," surprise"
"So, I need to make a lot of money tomorrow"," surprise"
"@joiskol  being in your room makes me sad."," sadness"
"Nearly fell asleep, but was jolted out of bed by a massive panic attack and now I'm not sure if I can sleep at all."," surprise"
"for the gays i only made 200 tonight"," surprise"
"@CocktailChic oh f*ck! I completely forgot about Thirsty Thursday! oh. my. gaga. this sucks"," surprise"
"if one people did any wrong, the world blames all the people over there, this is the great world which we are living in!  Shit!"," surprise"
"@MandyAlwaysKnws nope.  they are all sleeping cuz they live on the east coast."," surprise"
"@dravenreborn I bet its cool down in SR, huh? It's not here. I haven't stopped sweating since noon when dad and I were packing"," surprise"
"@meljachin: eww. dislike","@meljachin"
"Tactical mistake: going to the city library and buying milk. Who knew? OUCH OUCH OUCH. Maybe a good thing I didn't try for uni."," surprise"
"decided 2 trans frm relaxed 2 natural hair but i wish my whole head looked like my roots.  Age of the instant gratification...."," surprise"
"@SuzyDunkley sorry bout the cat,","love"
"needs to have an increase on her salary  http://plurk.com/p/wxluu"," surprise"
"my stomach feels like it's touching the ground..i'm SO full"," surprise"
"Pug just woke me from an incredible sleep!","neutral"
"@ddlovato i can`t wait to hear your new album. i`m sure will be amazing.please just replay to me  i love you so much!!!!"," surprise"
"Sooo much work so little time"," boredom"
"missed iron chef"," surprise"
"@thevowel the DS version sucks"," surprise"
"what a bad day","neutral"
"@lilxamyx08 i know ridiculous! we never got to hang out  i love chicago and want to go shopping... so a trip sounds like fun"," surprise"
"hates the net. ayaw bumukas ng twitter.  http://plurk.com/p/wxlxs"," surprise"
"Ugh, my internet was down!","neutral"
"omg i didnt tweet all that much today.... *sadness*"," sadness"
"is feeling so giddy and wanna go home.","neutral"
"the week just wasnt the same without an adam lambert performance!!!"," surprise"
"@rockingjude The link doesn't work"," surprise"
"Up and packing. Its the last day of youth camp"," surprise"
"GOSSIP GIRL, WHEN ARE YOU COMING BACK  ! chaceeeeeee.."," surprise"
"Smh @ hiphop nursery rhymes"," surprise"
"Somebody please save the polar bears!"," surprise"
"@PandaMayhem noooooooooooo i just look at a lot of pictures   lol lol"," surprise"
"@CrazyBallerina Not really sleepy ...bored is the right word ... again not much work"," bored"
"It has come to my attention from a 16yo friend that I've recently gained a TON of weight. He didn't know it was me."," surprise"
"guess im staying home tonight...no movie-ing for me"," surprise"
"went to the cd store to search for the cd. But","neutral"
"@BuzzEdition reminds me of the weather a month ago it was horrible  I hope all is well hugs"," surprise"
"I miss my mom..  &quot;May angels lead you in&quot;"," surprise"
"there's really no android twitter app of Tweetie's calibre"," surprise"
"on jacksonville beach walking in the cold Ass water   but have to work in the morning   ily &lt;('-')&gt;"," surprise"
"@taylor_d No, it's not...","@taylor_d no"
"@chocolovere i feel the same way every day","surprise"
"Can't sleep. Sucks. The one day i have to sleep in and i have to get up and go shopping with mom. Ugh."," surprise"
"@crunchmonkey78 well i just got home and its not on till tmw at 530p but with comcast its on right now  but i didnt miss it"," surprise"
"Sleppytime. Really missing my godfather right now. Love you Wayne"," love"
"So have a headache right now and it sucks"," surprise"
"@JayDz hope ya sleepin well  guys still here","happy"
"i should be finished.... but i'm not.  color drawing, here i come."," surprise"
"@jwray12 Lakers, baby Lakers!! I'll miss the game tmwr. I have to work  you'll have to keep me posted please"," surprise"
"comfort food of the day: pan mee. though, it didnt taste any good.."," surprise"
"damn being drunk and hot sucks"," surprise"
"misses my baby.","hate"
"is not sleeping because he has paperwork to do.","neutral"
"Showered in ice-cold water. Sweating now. Means one thing: I'm sick"," surprise"
"midnight cry.. wish the person I wanted, wanted me right now"," surprise"
"@mousebudden I'ma need you to follow me real quick cause I can't DM you","@mousebudden i'm so excited"
"I'm poorly and can't sleep","happy"
"Went to pole class. Feeling discouraged. I am hopeless when it cones to dancing or sexy moves or spreading my legs."," surprise"
"@RoasterBoy And these poor, unfortunate souls don't appear to have any pants at all...  ? http://blip.fm/~78qvz"," surprise"
"@damohopo @StephanieEllen If I told you how often I wash my hair you would never speak to me again"," surprise"
"Looks like another sleepless night dedicated to homework. Sorry in advance, Ms. Chapman."," surprise"
"@jessicaduncan http://twitpic.com/662vk -  WHY DO U LOT MOCK ME!!!"," surprise"
"didnt say goodnight to you","disappointment"
"@abguerraartist  I am not a pussy! damnit!  [sending you an e-mail right now btw]"," surprise"
"has work tom.","love"
"In the Hongkong International Airport. Has to wait for 3-4 hours for our next flight to Cebu."," surprise"
"Can't sleep and nothings on tv!!"," surprise"
"The pics I just uploaded are the baby pics of my cats. Missy is now an adult and a pretty little kitty, but Batty is in kitten heaven now"," surprise"
"@KallieT oh ... you've been superseeded?  not good enough","@kalliet surprise"
"today we say goodbye to the second good friend in a week from dmp  but at least the sun is shinning and I'm definately NOT working this pm"," surprise"
"fuckin'm transtelecom"," surprise"
"is really, really bored... I guess I will go to bed","neutral"
"@Syo_of_the_dead I met a stranger just 10 min ago. He was stalking me at the store"," surprise"
"@ModelTheany  tee we beefin....what was u supposed to do before leavin????"," surprise"
"Sometimes the things you say hurt the ones you love most unintentionally.  And you can never ever take it back or fix it."," surprise"
"@nickkk_ that sucks!"," surprise"
"@dorkydeanna IIII know!!! and mean"," surprise"
"Having Fever  dont feel to work"," boredom"
"Taking Horse Pills, hoping I can get some sleep tonight"," surprise"
"@BusyGod PGPM student from where? I myself was a PGPM student about 4 years back. I wish I could stay one"," surprise"
